"Date","rlc_end_time","nubbinID","uid","rlc_day","phase_full","tp2","pmax","maxNPQ_Ypoint1","deltaNPQ","alpha_est","alpha_st_err","alpha_t","alpha_p","ek_est","ek_st_err","ek_t","ek_p","QuanYield","F0","Fm","rlc_order","genotype","phase","trt1","trt2","rank"
"2024-06-25","3:50:47 PM",37,"2024-06-25_37",1,"acclimation","a",29.09,0.393,0.386,0.794239603533342,0.0368798712810503,21.5358561715328,6.54146305420428e-07,36.6260112869972,3.16231788505389,11.5820144015576,2.4928026288303e-05,0.639,223,617,15,"M","i","dead","dead",43
"2024-06-25","3:56:08 PM",23,"2024-06-25_23",1,"acclimation","a",37.11,0.438,0.429,0.739630619934734,0.0284892682945093,25.9617274929199,2.15376161025451e-07,50.1675213830158,3.97395598330861,12.6240757556775,1.51340212671019e-05,0.663,239,709,15,"H","i","nut","NO3",44
"2024-06-25","4:01:02 PM",36,"2024-06-25_36",1,"acclimation","a",22.06,0.275,0.27,0.914098587282619,0.0462766103862966,19.7529287398565,1.09172709012253e-06,24.1337974805621,1.96679205042905,12.2706401397633,1.78456226746504e-05,0.651,207,593,15,"L","i","CTL","CTL",45
"2024-06-25","4:06:16 PM",32,"2024-06-25_32",1,"acclimation","a",35.72,0.525,0.472,0.739851535380742,0.0233352877490465,31.7052672903497,6.54229903553205e-08,48.2848493549862,3.09510162697802,15.6004083788778,4.39253019475832e-06,0.638,202,558,16,"K","i","dead","dead",46
"2024-06-25","4:11:11 PM",39,"2024-06-25_39",1,"acclimation","a",26.5,0.225,0.228,0.817458665183757,0.0359547299249328,22.7357754290038,4.74118445451473e-07,32.4216035742601,2.5449317538937,12.7396750520542,1.43532408618696e-05,0.646,243,686,16,"M","i","nut","NO3",47
"2024-06-25","4:16:00 PM",28,"2024-06-25_28",1,"acclimation","a",38.83,0.356,0.362,0.760034410192795,0.0301731075022092,25.1891327446849,2.57806215404575e-07,51.0888608725326,4.19443924364188,12.1801408734136,1.86281222966636e-05,0.636,194,533,16,"J","i","nut","NH4",48
"2024-07-03","7:30:29 AM",30,"2024-07-03_30",9,"heating","i",23.99,0.14,0.125,0.878246700814578,0.0358109132028976,24.5245547310845,3.02259011869831e-07,27.3124842516959,1.87300151957635,14.5822007970788,6.52577557845047e-06,0.671,247,751,1,"J","h","nut","NO3",1
"2024-07-03","7:35:39 AM",41,"2024-07-03_41",9,"heating","i",36.19,0.344,0.342,0.795576130495074,0.0231184996283745,34.4129655160936,4.01060122534148e-08,45.4870422515805,2.63657685004016,17.252310415639,2.42919285323719e-06,0.678,263,817,1,"N","h","CTL","CTL",2
"2024-07-03","7:55:23 AM",6,"2024-07-03_6",9,"heating","i",50.24,0.317,0.33,0.651352482519846,0.0203612975527054,31.9897335046459,6.20261693866142e-08,77.1312378968332,5.61909513039782,13.7266296631238,9.29329470124725e-06,0.682,242,760,1,"B","h","nut","NH4",3
"2024-07-03","8:02:38 AM",33,"2024-07-03_33",9,"heating","i",20.81,0.165,0.151,0.905027613484127,0.0342082469102911,26.4564160758516,1.92480116519557e-07,22.9916475507531,1.37492602684752,16.7220978451249,2.91977915236239e-06,0.659,267,782,2,"K","h","dead","dead",4
"2024-07-03","8:08:19 AM",25,"2024-07-03_25",9,"heating","i",38.3,0.315,0.297,0.792946668244937,0.0235781898739817,33.6305150006425,4.60119294953751e-08,48.2985189293537,2.9189990497035,16.5462605869158,3.10730266465945e-06,0.687,263,839,2,"I","h","nut","NO3",5
"2024-07-03","8:23:08 AM",2,"2024-07-03_2",9,"heating","i",29.45,0.262,0.229,0.752111125494981,0.0288307990568245,26.0870718155468,2.09287652586734e-07,39.1522583979626,2.85275340863232,13.7243752928274,9.30220979946076e-06,0.662,285,843,3,"A","h","dead","dead",7
"2024-07-03","8:36:52 AM",19,"2024-07-03_19",9,"heating","i",36.24,0.561,0.577,0.647726145079297,0.017071520069196,37.9419139276331,2.23793022051849e-08,55.9531962024975,3.13488779185722,17.8485483109904,1.98796972653375e-06,0.637,319,879,3,"G","h","CTL","CTL",8
"2024-07-03","8:45:35 AM",28,"2024-07-03_28",9,"heating","i",37.36,0.232,0.244,0.717946784974594,0.0281158660890642,25.5352896723975,2.37692579974996e-07,52.0437910283754,4.23883794693359,12.2778439940183,1.77849915302858e-05,0.642,272,759,3,"J","h","nut","NH4",9
"2024-07-03","8:52:20 AM",20,"2024-07-03_20",9,"heating","i",48.86,0.282,0.282,0.733696567606579,0.0186465906805719,39.347491462395,1.80049428847811e-08,66.5977469479326,3.78575608991845,17.5916634263057,2.16553702538304e-06,0.644,236,663,4,"G","h","nut","NH4",10
"2024-07-03","8:58:17 AM",4,"2024-07-03_4",9,"heating","i",59.46,0.739,0.652,0.785056547703394,0.0267528738047201,29.3447557609637,1.03801656147746e-07,75.7438715774138,5.98544690858705,12.654672697664,1.49226643407815e-05,0.728,245,901,4,"B","h","dead","dead",11
"2024-07-03","9:05:04 AM",27,"2024-07-03_27",9,"heating","i",33.42,0.337,0.32,0.7763589425338,0.0322213187464625,24.0945738019811,3.35787899715892e-07,43.0522050926277,3.50233337559434,12.2924349214249,1.76629183860818e-05,0.655,252,730,4,"I","h","dead","dead",12
"2024-07-03","9:10:45 AM",35,"2024-07-03_35",9,"heating","i",23.5,0.217,0.209,0.849107868766041,0.0351486395978179,24.1576310913255,3.30609464356495e-07,27.6797317687456,1.93606170511468,14.2969264335023,7.32577103702031e-06,0.662,216,639,5,"L","h","nut","NO3",13
"2024-07-03","9:18:03 AM",48,"2024-07-03_48",9,"heating","i",29,0.178,0.178,0.713150784142486,0.0354789028692804,20.1007000348923,9.84529222856213e-07,40.668845709904,3.89369830592629,10.4447860400497,4.51678263741132e-05,0.614,219,568,5,"P","h","CTL","CTL",14
"2024-07-03","9:26:21 AM",43,"2024-07-03_43",9,"heating","i",27.23,0.2,0.183,0.66784138503293,0.0255505519155743,26.1380414497367,2.06869366204915e-07,40.7744942042908,3.00464117242928,13.5705037188598,9.93488530072439e-06,0.63,237,641,5,"O","h","nut","NO3",15
"2024-07-03","9:31:46 AM",44,"2024-07-03_44",9,"heating","i",31.35,0.278,0.246,0.661312071580666,0.0223805876923443,29.5484676573922,9.96060942950804e-08,47.4072533371341,3.24207471598016,14.6225048742597,6.42114218879725e-06,0.631,251,681,6,"O","h","dead","dead",16
"2024-07-03","9:37:48 AM",36,"2024-07-03_36",9,"heating","i",26.93,0.2,0.193,0.794087200649835,0.0354572206135872,22.3956414774806,5.18518248686048e-07,33.9178611656238,2.74450884523125,12.3584448359706,1.71226681306335e-05,0.638,204,563,6,"L","h","CTL","CTL",17
"2024-07-03","9:49:21 AM",23,"2024-07-03_23",9,"heating","i",26.49,0.357,0.356,0.678438368819356,0.0347175094700593,19.5416773603662,1.16347391220595e-06,39.0520461134777,3.79533624685797,10.2894825579176,4.92103724839755e-05,0.61,292,749,6,"H","h","nut","NO3",18
"2024-07-03","9:58:24 AM",26,"2024-07-03_26",9,"heating","i",26.58,0.142,0.147,0.788565757041365,0.0265110165592524,29.7448328802826,9.574782330006e-08,33.7038924200508,2.0489874106933,16.4490480732855,3.21697840422241e-06,0.647,261,740,7,"I","h","nut","NH4",19
"2024-07-03","10:04:01 AM",15,"2024-07-03_15",9,"heating","i",36.17,0.166,0.174,0.745682000545828,0.0187315920364208,39.8087892954299,1.67927432790707e-08,48.5025087204918,2.4796338014577,19.5603514889895,1.15691492456079e-06,0.625,281,750,7,"E","h","dead","dead",20
"2024-07-03","10:08:41 AM",3,"2024-07-03_3",9,"heating","i",29.36,0.42,0.368,0.762298649433513,0.0248665540051124,30.6555805551822,7.99816751263512e-08,38.5158411971229,2.37535389849682,16.2147801308667,3.50030911785462e-06,0.624,258,686,7,"A","h","dead","dead",21
"2024-07-03","10:13:53 AM",9,"2024-07-03_9",9,"heating","i",22.02,0.085,0.08,0.793345301170229,0.031318670199199,25.3313852767133,2.49309412045545e-07,27.7540895399132,1.85305235367414,14.97749887362,5.57913252516881e-06,0.62,331,872,8,"C","h","dead","dead",22
"2024-07-03","10:19:42 AM",8,"2024-07-03_8",9,"heating","i",41.85,0.3,0.304,0.720701098641852,0.0205543175149029,35.0632463529527,3.58625005802963e-08,58.0728681633364,3.55993709252042,16.3128916759091,3.37825416409855e-06,0.644,304,854,8,"C","h","dead","dead",23
"2024-07-03","10:24:27 AM",38,"2024-07-03_38",9,"heating","i",29.63,0.083,0.093,0.779270326038589,0.0200524128460667,38.8616737557068,1.93934157983469e-08,38.0243469126512,1.84205816158432,20.6423161361785,8.41026549001342e-07,0.63,250,676,8,"M","h","nut","NH4",24
"2024-07-03","10:33:30 AM",13,"2024-07-03_13",9,"heating","i",22.76,0.13,0.114,0.67695000010739,0.0175832901063846,38.4996207201055,2.05097023985752e-08,33.6189213953616,1.57771013857746,21.3086805829074,6.96620457826971e-07,0.592,238,584,9,"E","h","dead","dead",25
"2024-07-03","10:44:19 AM",37,"2024-07-03_37",9,"heating","i",29.11,0.198,0.207,0.739052246438587,0.0262656906569074,28.1375523717375,1.33345407363835e-07,39.3885141078488,2.66606490489549,14.7740267071228,6.04484645410432e-06,0.64,196,545,9,"M","h","dead","dead",26
"2024-07-03","10:52:23 AM",40,"2024-07-03_40",9,"heating","i",26.59,0.222,0.193,0.68095103598752,0.0140937920385539,48.3156721856519,5.27046749426182e-09,39.0480481116107,1.5348468327616,25.441006410622,2.42983862865708e-07,0.6,253,633,9,"N","h","nut","NO3",27
"2024-07-03","11:04:05 AM",24,"2024-07-03_24",9,"heating","i",33.6,0.39,0.353,0.721404511716384,0.0241542703050865,29.8665413032356,9.34439066313422e-08,46.5824667320158,3.13447383248043,14.8613353377888,5.8396814030396e-06,0.629,189,510,10,"H","h","CTL","CTL",29
"2024-07-03","11:13:37 AM",1,"2024-07-03_1",9,"heating","i",28.08,0.451,0.364,0.544264380056336,0.0268495982109636,20.2708575294097,9.36573788312478e-07,51.5888298576146,5.27883922750574,9.77276019106768,6.60218168179955e-05,0.568,274,634,11,"A","h","dead","dead",31
"2024-07-03","11:21:17 AM",46,"2024-07-03_46",9,"heating","i",27.85,0.646,0.589,0.708945533555316,0.0359588626321226,19.7154604362265,1.10406798096631e-06,39.2846976064338,3.79165777707993,10.3608236597471,4.73034417731207e-05,0.628,178,479,11,"P","h","nut","NH4",32
"2024-07-03","11:26:45 AM",5,"2024-07-03_5",9,"heating","i",101.46,1.22,1.134,0.681424883706605,0.0204877756497337,33.2600715351674,4.91583973577911e-08,148.898669223676,12.3837659717425,12.0236985714552,2.00767416186739e-05,0.701,178,595,11,"B","h","nut","NO3",33
"2024-07-03","2:05:08 PM",18,"2024-07-03_18",9,"heating","i",24.43,0.814,0.735,0.666322245869572,0.0451162523441563,14.7690069819347,6.05689475965988e-06,36.6714268551949,4.61884490367821,7.93952332670699,0.000212209712622725,0.62,233,613,12,"F","h","nut","NH4",34
"2024-07-03","2:11:32 PM",10,"2024-07-03_10",9,"heating","i",87.24,1.337,1.192,0.574329205642354,0.0256593488638999,22.3828441122439,5.2028109411989e-07,151.894397827315,18.871316781183,8.04895596786191,0.000196688789742667,0.691,210,680,12,"D","h","nut","NH4",35
"2024-07-03","2:16:46 PM",22,"2024-07-03_22",9,"heating","i",32.67,0.672,0.658,0.657258088513113,0.0346675932353151,18.9588612065397,1.39172489243336e-06,49.7002335350835,5.37560945038513,9.24550676417216,9.04307558841316e-05,0.63,207,560,12,"H","h","nut","NH4",36
"2024-07-03","2:22:30 PM",42,"2024-07-03_42",9,"heating","i",30.85,0.901,0.813,0.617201761311154,0.035399307435089,17.43541910934,2.28256017603357e-06,49.9762667774134,5.88782080853726,8.48807536821578,0.000146272882807082,0.61,284,728,13,"N","h","CTL","CTL",37
"2024-07-03","2:29:24 PM",31,"2024-07-03_31",9,"heating","i",27.95,0.861,0.795,0.601107767304443,0.0417112646919169,14.411161391156,6.9924502893565e-06,46.4961208471504,6.48025313214409,7.1750470080428,0.000370256926983458,0.586,254,614,13,"K","h","nut","NH4",38
"2024-07-03","2:34:31 PM",14,"2024-07-03_14",9,"heating","i",23.97,0.575,0.511,0.584570850769922,0.0347720898526232,16.8114960374124,2.82950566180653e-06,41.0081871875343,4.70701390985842,8.71214489119022,0.000126396855380112,0.553,268,600,13,"E","h","CTL","CTL",39
"2024-07-03","2:49:02 PM",39,"2024-07-03_39",9,"heating","i",25.46,0.469,0.362,0.502628041559422,0.0266786475751289,18.8400870075587,1.44441713310917e-06,50.6581917102736,5.54625952008197,9.13375790059043,9.68636833696817e-05,0.539,195,423,2,"M","h","nut","NO3",6
"2024-07-03","2:54:35 PM",45,"2024-07-03_45",9,"heating","i",48.62,0.902,0.863,0.625582886032022,0.0223439172953245,27.997905549128,1.3735894089515e-07,77.7249692785423,6.48327087618252,11.9885426296284,2.04200260511748e-05,0.616,238,620,10,"O","h","CTL","CTL",30
"2024-07-03","3:10:12 PM",7,"2024-07-03_7",9,"heating","i",43.35,0.9,0.868,0.687613559497124,0.0306007472855903,22.4704826022637,5.08347082248453e-07,63.0405193998207,6.17683215394026,10.2059628347852,5.15570683868539e-05,0.633,271,739,14,"C","h","CTL","CTL",40
"2024-07-03","3:19:39 PM",47,"2024-07-03_47",9,"heating","i",29.8,0.885,0.828,0.671916292602359,0.0352982634992889,19.0353922825664,1.35895841578864e-06,44.3562222758264,4.61111207964176,9.61941967788224,7.22322067751489e-05,0.603,234,590,14,"P","h","dead","dead",41
"2024-07-03","3:27:00 PM",29,"2024-07-03_29",9,"heating","i",43.37,0.705,0.683,0.672848871751791,0.021162782907903,31.7939693791654,6.43410421292381e-08,64.4634247610351,4.49288587575078,14.3478883158284,7.17484019576987e-06,0.611,267,687,10,"J","h","CTL","CTL",28
"2024-07-03","3:32:35 PM",17,"2024-07-03_17",9,"heating","i",48.72,1.073,1.034,0.617552513145253,0.0271785335323993,22.7220689596469,4.75819729021864e-07,78.8920518651876,8.14165687059719,9.6899259105476,6.92962861576009e-05,0.632,336,912,14,"F","h","nut","NO3",42
"2024-07-03","3:38:07 PM",21,"2024-07-03_21",9,"heating","i",25.71,0.341,0.323,0.744390297524261,0.0359389620275782,20.7126265069382,8.24245419019863e-07,34.5396360913431,3.04047963649191,11.359930083661,2.7874749801382e-05,0.637,251,692,15,"G","h","nut","NO3",43
"2024-07-03","3:42:55 PM",12,"2024-07-03_12",9,"heating","i",100.06,0.708,0.7,0.709136077983158,0.0218908680639792,32.3941506527108,5.75445274140675e-08,141.096427072251,11.8799270151389,11.8768765912829,2.15564639540891e-05,0.708,217,743,15,"D","h","CTL","CTL",44
